"DealID","RefID","Deal Idfd"
"38829791","13137972.nclnlj","13137972"
"38829792","13137969.nclnlj","13137969"
"38829793","13137971.nclnlj","13137971"
"38829794","13137970.nclnlj","13137970"
"38829795","13137973.nclnlj","13137973"
"38829796","13137968.nclnlj","13137968"
"38829797","13137967.nclnlj","13137967"
"38829798","13138064.nclnlj","13138064"
"38829802","13142089.nclnlj","13142089"
"38829803","13142092.nclnlj","13142092"
"38829804","13142086.nclnlj","13142086"
"38829805","13142085.nclnlj","13142085"
"38829806","13142087.nclnlj","13142087"
"38829807","13142088.nclnlj","13142088"
"38829810","13142097.nclnlj","13142097"
"38829892","13227556.nclnlj","13227556"
"38829893","13227565.nclnlj","13227565"
"38829894","13227564.nclnlj","13227564"
"38829895","13227558.nclnlj","13227558"
"38829896","13227553.nclnlj","13227553"
"38829897","13227561.nclnlj","13227561"
"38829898","13227552.nclnlj","13227552"
"38829899","13227555.nclnlj","13227555"
"38829900","13227559.nclnlj","13227559"
"38829901","13227562.nclnlj","13227562"
"38829775","1006247.nclnlj","1006247"
"38829776","1006246.nclnlj","1006246"
"38829777","1006261.nclnlj","1006261"
"38829778","1006260.nclnlj","1006260"
"38829809","1006314.nclnlj","1006314"
"38829811","1006313.nclnlj","1006313"
"38829889","1006450.nclnlj","1006450"
"38829890","1006449.nclnlj","1006449"
"38829910","1006478.nclnlj","1006478"
"38829911","1006477.nclnlj","1006477"
